drawing,class,gt,tp_strong,fp_strong,fn_strong,tp_all,fp_all,fn_all,gate_states,ball_states
25VHA24PE00101,gate,12,5,0,7,8,0,4,4o/4c,
25VHA24PE00101,ball,0,0,0,0,0,1,0,,1o/0c
25VHA24PE00101,globe_valve,6,3,6,3,4,13,2,,
25VHA24PE00101,check_valve,2,2,0,0,2,0,0,,
25VHA24PE00101,reducer,6,4,0,2,4,0,2,,
25VHA24PE00101,other_valve,2,0,2,2,0,4,2,,
25WHO13PE00401,gate,28,9,4,19,12,6,16,9o/9c,
25WHO13PE00401,ball,7,4,0,3,6,1,1,,4o/3c
25WHO13PE00401,globe_valve,6,2,1,4,3,3,3,,
25WHO13PE00401,check_valve,6,2,5,4,2,6,4,,
25WHO13PE00401,reducer,2,2,1,0,2,2,0,,
25WHO13PE00401,other_valve,11,1,12,10,4,24,7,,
25WHO63PU00501,gate,4,3,0,1,3,0,1,2o/1c,
25WHO63PU00501,ball,24,7,1,17,7,1,17,,1o/7c
25WHO63PU00501,globe_valve,0,0,0,0,0,1,0,,
25WHO63PU00501,check_valve,17,17,7,0,17,7,0,,
25WHO63PU00501,reducer,8,8,3,0,8,7,0,,
25WHO63PU00501,other_valve,1,0,0,1,0,4,1,,
