drawing,class,gt,tp_strong,fp_strong,fn_strong,tp_all,fp_all,fn_all,gate_states,ball_states
25VHO27PE00101,gate,28,5,0,23,6,0,22,2o/4c,
25VHO27PE00101,ball,12,6,2,6,9,3,3,,2o/10c
25VHO27PE00101,globe_valve,2,0,1,2,2,1,0,,
25VHO27PE00101,check_valve,1,0,1,1,0,2,1,,
25VHO27PE00101,reducer,8,7,1,1,7,3,1,,
25VHO27PE00101,other_valve,8,3,3,5,4,10,4,,
25WHO11PE00101,butterfly_valve,1,0,0,1,0,0,1,,
25WHO11PE00101,reducer,2,1,0,1,1,0,1,,
25WHO20PE00101,gate,13,1,0,12,2,0,11,2o/0c,
25WHO20PE00101,ball,3,2,1,1,2,1,1,,0o/3c
25WHO20PE00101,globe_valve,5,5,0,0,5,0,0,,
25WHO20PE00101,check_valve,3,0,1,3,0,1,3,,
25WHO20PE00101,reducer,7,0,2,7,1,2,6,,
25WHO20PE00101,other_valve,6,1,1,5,3,2,3,,
