system,tag,type,status
24,24-PT2001,PT,PID_ONLY
24,24-PT2159,PT,PID_ONLY
24,24-VG50,VG,PID_ONLY
24,24-XV2163A,XV,PID_ONLY
24,24-XV2163B,XV,PID_ONLY
24,24-FT2100,FT,SCD_ONLY
24,24-PE001,PE,SCD_ONLY
24,24-PT2160,PT,SCD_ONLY
24,24-XY2001,XY,SCD_ONLY
24,24-XY2002,XY,SCD_ONLY
26,26-L02,L,SCD_ONLY
27,27-HA50,HA,BOTH
27,27-KA50,KA,BOTH
27,27-PDT4812,PDT,BOTH
27,27-PIC4825A,PIC,BOTH
27,27-PIC4825C,PIC,BOTH
27,27-PT4250A,PT,BOTH
27,27-PT4803,PT,BOTH
27,27-PT4804,PT,BOTH
27,27-PT4805,PT,BOTH
27,27-PT4825,PT,BOTH
27,27-TT4806,TT,BOTH
27,27-TT4820,TT,BOTH
27,27-TT4821,TT,BOTH
27,27-XV4813,XV,BOTH
27,27-XV4814,XV,BOTH
27,27-XV4826,XV,BOTH
27,27-XV4828,XV,BOTH
27,27-CB59,CB,PID_ONLY
27,27-CB60,CB,PID_ONLY
27,27-CB61,CB,PID_ONLY
27,27-CB62,CB,PID_ONLY
27,27-CS51,CS,PID_ONLY
27,27-CX057,CX,PID_ONLY
27,27-CX50,CX,PID_ONLY
27,27-CX54,CX,PID_ONLY
27,27-CX55,CX,PID_ONLY
27,27-CX56,CX,PID_ONLY
27,27-CZ50,CZ,PID_ONLY
27,27-CZ51,CZ,PID_ONLY
27,27-ESV2240,ESV,PID_ONLY
27,27-FE4801,FE,PID_ONLY
27,27-FI4801,FI,PID_ONLY
27,27-FI4807,FI,PID_ONLY
27,27-FIC4810,FIC,PID_ONLY
27,27-FO4827,FO,PID_ONLY
27,27-FO4829,FO,PID_ONLY
27,27-FT4801,FT,PID_ONLY
27,27-FT4807,FT,PID_ONLY
27,27-FT4810,FT,PID_ONLY
27,27-FV4810,FV,PID_ONLY
27,27-FV4811,FV,PID_ONLY
27,27-FY4810,FY,PID_ONLY
27,27-FY4811A,FY,PID_ONLY
27,27-FY4811B,FY,PID_ONLY
27,27-FY4811C,FY,PID_ONLY
27,27-HS4805,HS,PID_ONLY
27,27-HS4811,HS,PID_ONLY
27,27-HS4813,HS,PID_ONLY
27,27-HS4814,HS,PID_ONLY
27,27-HS4826,HS,PID_ONLY
27,27-HS4828,HS,PID_ONLY
27,27-KZ50,KZ,PID_ONLY
27,27-PDI4812,PDI,PID_ONLY
27,27-PI4801,PI,PID_ONLY
27,27-PI4802,PI,PID_ONLY
27,27-PI4804,PI,PID_ONLY
27,27-PI4805,PI,PID_ONLY
27,27-PI4806,PI,PID_ONLY
27,27-PI4807,PI,PID_ONLY
27,27-PI4823,PI,PID_ONLY
27,27-PIC4803,PIC,PID_ONLY
27,27-PIC4809,PIC,PID_ONLY
27,27-PIC4825B,PIC,PID_ONLY
27,27-PSE4254,PSE,PID_ONLY
27,27-PSE4255,PSE,PID_ONLY
27,27-PSE4801A,PSE,PID_ONLY
27,27-PSE4801B,PSE,PID_ONLY
27,27-PSV4809,PSV,PID_ONLY
27,27-PSV4810,PSV,PID_ONLY
