tag,system,type,category,status,n_pid,n_scd,pid_files,scd_files
13-SI3903,13,SI,speed_vibration,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-TI2263,13,TI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-TI2273,13,TI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-TI2280,13,TI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-TI2283,13,TI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-TI2286,13,TI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-TT2263,13,TT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-TT2280,13,TT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XJ54,13,XJ,other,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XJ55,13,XJ,other,SCD_ONLY,0,1,,C025-W-HO13-J-_E-001-01.PDF
13-XV2271,13,XV,shutdown_valve,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XV2272,13,XV,shutdown_valve,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XV2279,13,XV,shutdown_valve,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XY2252,13,XY,relay,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XY2253,13,XY,relay,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XY2279,13,XY,relay,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZL2271,13,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZL2272,13,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZL2279,13,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZL2287,13,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZS2264,13,ZS,position_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZS2271,13,ZS,position_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZS2272,13,ZS,position_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZS2279,13,ZS,position_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZS2287,13,ZS,position_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
20-HE50,20,HE,other,SCD_ONLY,0,1,,C025-W-HO20-J-_E-002-01.PDF
20-HS2007,20,HS,hand_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-HS2008,20,HS,hand_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-HS2009,20,HS,hand_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-HS2015,20,HS,hand_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-HS2202A,20,HS,hand_switch,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-HS2202B,20,HS,hand_switch,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-LI2005,20,LI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-LIC2200,20,LIC,controller,PID_ONLY,2,0,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-LIC2200A,20,LIC,controller,PID_ONLY,2,0,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-LIC2200B,20,LIC,controller,PID_ONLY,2,0,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-LT2005,20,LT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-LT2200,20,LT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-LV2200A,20,LV,control_valve,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-LV2200B,20,LV,control_valve,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-LY2200A,20,LY,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-LY2200B,20,LY,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-PA001,20,PA,other,BOTH,2,2,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,C025-V-HO82-J-_E-102-01.PDF;C025-W-HO20-J-_E-001-01.PDF
20-PI2012,20,PI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PI2018,20,PI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PI2019,20,PI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PI2176,20,PI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-PSE2018,20,PSE,safety_element,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PSE2019,20,PSE,safety_element,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PSV2171,20,PSV,safety_valve,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-PT2012,20,PT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PT2018,20,PT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PT2019,20,PT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PV2201,20,PV,control_valve,SCD_ONLY,0,2,,C025-V-HO27-J-_E-101-01.PDF;C025-W-HO27-J-_E-001-01.PDF
20-SI2806,20,SI,speed_vibration,PID_ONLY,2,0,C025-W-HO20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-SI3003,20,SI,speed_vibration,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-SI3316,20,SI,speed_vibration,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-SI3318,20,SI,speed_vibration,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-SI3701,20,SI,speed_vibration,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-SI4201,20,SI,speed_vibration,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-TAHH2060,20,TAHH,other,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-TI2001A,20,TI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-TI2001B,20,TI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-TI2010,20,TI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-TT2001,20,TT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-TT2010,20,TT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-VA50,20,VA,other,PID_ONLY,2,0,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-XV2008,20,XV,shutdown_valve,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-XV2009,20,XV,shutdown_valve,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-XV2015,20,XV,shutdown_valve,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-XV2202A,20,XV,shutdown_valve,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-XV2202B,20,XV,shutdown_valve,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-XY2001,20,XY,relay,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
20-XY2007,20,XY,relay,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-XY2008,20,XY,relay,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-XY2009,20,XY,relay,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZL2007,20,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZL2008,20,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZL2009,20,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZL2015,20,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZS2008,20,ZS,position_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZS2009,20,ZS,position_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-ZS2015,20,ZS,position_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
21-ESV2152,21,ESV,other,PID_ONLY,1,0,C025-W-HO65-P-_U-002-01.PDF,
21-VW50,21,VW,other,SCD_ONLY,0,1,,C025-W-HO21-J-_E-001-01.PDF
24-AE2060,24,AE,other,PID_ONLY,2,0,C025-V-HA24-P-_E-001-01.PDF;C025-V-HB20-P-_E-001-01.PDF,
24-FT2100,24,FT,transmitter,SCD_ONLY,0,1,,C025-W-HO24-J-_E-001-01.PDF
24-FV2100,24,FV,control_valve,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-HS2163A,24,HS,hand_switch,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-HS2163B,24,HS,hand_switch,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-LIC2162,24,LIC,controller,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-LIC2162A,24,LIC,controller,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-LIC2162B,24,LIC,controller,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-LSH2005,24,LSH,other,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-PA001,24,PA,other,BOTH,1,2,C025-V-HA24-P-_E-001-01.PDF,C025-V-HO82-J-_E-102-01.PDF;C025-W-HO24-J-_E-001-01.PDF
24-PE001,24,PE,other,SCD_ONLY,0,2,,C025-V-HO82-J-_E-102-01.PDF;C025-W-HO24-J-_E-001-01.PDF
24-PI2001,24,PI,indicator,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-PT2001,24,PT,transmitter,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-PT2159,24,PT,transmitter,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-PT2160,24,PT,transmitter,SCD_ONLY,0,1,,C025-W-HO24-J-_E-001-01.PDF
24-VG50,24,VG,other,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-XV2163A,24,XV,shutdown_valve,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-XV2163B,24,XV,shutdown_valve,PID_ONLY,1,0,C025-V-HA24-P-_E-001-01.PDF,
24-XY2001,24,XY,relay,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
24-XY2002,24,XY,relay,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
26-L02,26,L,other,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-CB59,27,CB,other,PID_ONLY,1,0,C025-V-HO27-P-_E-003-01.PDF,
27-CB60,27,CB,other,PID_ONLY,1,0,C025-V-HO27-P-_E-003-01.PDF,
27-CB61,27,CB,other,PID_ONLY,1,0,C025-V-HO27-P-_E-003-01.PDF,
27-CB62,27,CB,other,PID_ONLY,1,0,C025-V-HO27-P-_E-003-01.PDF,
