system,common,pid_only,scd_only,pct_common
00,0,0,2,0.0
13,1,65,16,1.2
20,1,54,3,1.7
21,0,1,1,0.0
24,1,14,5,5.0
26,0,0,1,0.0
27,17,96,40,11.1
42,0,0,17,0.0
43,0,0,5,0.0
45,4,26,49,5.1
50,2,4,11,11.8
53,0,0,8,0.0
56,0,0,1,0.0
62,0,0,2,0.0
63,1,12,4,5.9
64,0,26,18,0.0
65,0,8,0,0.0
70,0,0,3,0.0
71,0,43,5,0.0
72,0,1,0,0.0
73,0,0,2,0.0
74,0,0,2,0.0
75,0,2,0,0.0
76,0,0,4,0.0
77,0,1,70,0.0
79,0,0,12,0.0
81,0,1,4,0.0
82,0,51,50,0.0
85,0,0,38,0.0
86,0,0,3,0.0
87,0,0,6,0.0
?,0,40,0,0.0
